Indicadors geogràfics. Altitud i coordenades UTM
Municipis. 2013
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=inddt&n=4700&geo=mun&t=201300&lang=es
Codi,Nom,Altitud (metres),Coordenades UTM (metres). UTMx,Coordenades UTM (metres). UTMy
250019,Abella de la Conca,956,342450,4669650
080018,Abrera,105,408471,4596983
250024,Àger,642,314700,4652600
250030,Agramunt,337,342100,4628075
080023,Aguilar de Segarra,480,386250,4621900
170010,Agullana,166,487450,4693750
080142,Aiguafreda,404,437818,4624498
430017,Aiguamúrcia,314,363150,4578725
170025,Aiguaviva,169,480450,4643100
250387,Aitona,110,287900,4596950
250045,"Alamús, els",212,311750,4609800
250058,Alàs i Cerc,768,377225,4690100
250061,"Albagés, l'",372,311250,4591250
170031,Albanyà,239,477024,4683855
250077,Albatàrrec,147,300450,4605350
250083,Albesa,237,305600,4625100
250096,"Albi, l'",526,327750,4587975
430022,Albinyana,198,373400,4567350
430038,"Albiol, l'",823,340050,4568675
170046,Albons,25,506700,4661850
430043,Alcanar,72,286800,4491400
250100,Alcanó,214,301200,4595100
250117,Alcarràs,137,293725,4604525
250122,Alcoletge,213,308075,4613400
430056,Alcover,243,346875,4569725
439044,"Aldea, l'",9,298500,4513250
430069,Aldover,14,289450,4528625
430075,"Aleixar, l'",262,336300,4563150
080039,Alella,90,441226,4593975
430081,Alfara de Carles,334,281025,4528200
250138,Alfarràs,281,298277,4633960
250143,Alfés,236,301525,4599500
430094,Alforja,374,330350,4564300
250156,Algerri,345,303950,4632225
250169,Alguaire,304,299225,4623575
250175,Alins,1048,362050,4712275
430108,Alió,263,358325,4573025
250194,Almacelles,247,287125,4623250
250208,Almatret,462,284450,4576100
250215,Almenar,329,298025,4630275
430115,Almoster,290,341900,4562600
250220,Alòs de Balaguer,297,330993,4642201
170062,Alp,1158,408500,4692050
080044,Alpens,855,425786,4663555
250236,Alpicat,264,296550,4615825
250241,Alt Àneu,1076,345125,4722050
430120,Altafulla,52,363800,4555925
170078,Amer,186,467200,4651225
430136,"Ametlla de Mar, l'",19,314950,4528450
080057,"Ametlla del Vallès, l'",281,438668,4613334
439060,"Ampolla, l'",8,306850,4520650
430141,Amposta,8,295650,4509450
170084,Anglès,181,470075,4645250
250273,Anglesola,335,340525,4613750
250292,Arbeca,332,327025,4601175
430167,"Arboç, l'",166,383100,4569550
430154,Arbolí,714,328200,4567850
170097,Arbúcies,291,459875,4629650
080060,Arenys de Mar,10,462519,4603449
080076,Arenys de Munt,121,461697,4606889
170101,Argelaguer,183,470600,4673750
080082,Argençola,716,370472,4606509
430173,"Argentera, l'",344,324625,4556300
080095,Argentona,88,450180,4600628
170118,"Armentera, l'",7,506275,4669100
430189,Arnes,506,269375,4532600
250313,Arres,1224,312800,4736350
250328,Arsèguel,950,383375,4689825
080109,Artés,316,413258,4628076
250334,Artesa de Lleida,202,308525,4602900
250349,Artesa de Segre,318,338150,4640200
430192,Ascó,70,296100,4561775
250365,Aspa,256,305800,4596600
250371,"Avellanes i Santa Linya, les",567,314700,4642100
080116,Avià,677,402919,4659138
080121,Avinyó,353,414672,4635324
170123,Avinyonet de Puigventós,70,493025,4677700
080137,Avinyonet del Penedès,280,397872,4579783
080155,Badalona,6,437019,4588862
089045,Badia del Vallès,120,426300,4595800
080168,Bagà,785,406270,4678681
250390,Baix Pallars,591,340600,4687725
250404,Balaguer,233,317825,4629050
080174,Balenyà,587,436578,4629669
080180,Balsareny,327,406664,4635395
430206,Banyeres del Penedès,173,381275,4571025
170157,Banyoles,172,480700,4663050
250411,Barbens,283,335025,4616125
430213,Barberà de la Conca,475,352025,4586075
082520,Barberà del Vallès,146,426944,4596449
