Plaça de Valls, 1, 08791 Sant Llorenç d'Hortons, Barcelona, Spain
Plaça de Valls, 1, 08791 Sant Llorenç d'Hortons, Barcelona, Spain
Plaça Ajuntament, 1, 08736 Guardiola de Font-Rubí, Barcelona, Spain
Pl. de la Vila, 6, 08738 Pontons, Barcelona, Spain
Carrer de Mossèn Josep Maria Jané, 17, 43710 Santa Oliva, Tarragona, Spain
Carrer Sant Antoni, 8, 43812 Rodonyà, Tarragona, Spain
Plaça Nova, 5, 43813 Alió, Tarragona, Spain
Pl. Iglesia, 2, 43812 Montferri, Tarragona, Spain
Plaça Església, 3, 43885 Salomó, Tarragona, Spain
Plaça de Catalunya, 5, 43763 Els Masos de Vespella, Tarragona, Spain
Plaça de l'Esglesia, 1, 43320 Pratdip, Tarragona, Spain
Carrer del Mig, 3, 43773 Duesaigües, Tarragona, Spain
Carrer d'Amunt, 2, 43772 Botarell, Tarragona, Spain
Cami Alzines, 1, 43364 Mont-ral, Tarragona, Spain
Desconocido, 14, 43490 Vilaverd, Tarragona, Spain
Plaça Catalunya, 5, 43423 Pira, Tarragona, Spain
Plaça Vella, 5, 43411 Blancafort, Tarragona, Spain
Carrer Santa Maria, 1, 43425 Passanant, Tarragona, Spain
Carrer Pla de la Bassa, 7, 43425 Forès, Tarragona, Spain
Plaça Major, 3, 43427 Conesa, Tarragona, Spain
BV-1004, 08289 Veciana, Barcelona, Spain
Carrer la Plaza, 5, 08281 Sant Pere Sallavinera, Barcelona, Spain
BV-1037, 4, 08719 Rubió, Barcelona, Spain
Carrer Major, 31, 08719 Jorba, Barcelona, Spain
Pl. D'Espanya, 2, 08787 Carme, Barcelona, Spain
Plaça de Valls, 1, 08791 Sant Llorenç d'Hortons, Barcelona, Spain
Carrer Església, 22, 08818 Olivella, Barcelona, Spain
Av. Catalunya, 12, 08797 Puigdàlber, Barcelona, Spain
Plaça Major, 17, 08796 Pacs del Penedès, Barcelona, Spain
Plaça de la Vila, 10, 08737 Torrelles de Foix, Barcelona, Spain
Pl. de la Vila, 6, 08738 Pontons, Barcelona, Spain
Plaça de Sant Sebastià, 3, 43816 Querol, Tarragona, Spain
Carrer de l'Església, 13, 43718 Masllorenç, Tarragona, Spain
Plaça Major, 3, 43716 Albinyana, Tarragona, Spain
Carrer d'Avall, 4, 43812 Bràfim, Tarragona, Spain
Plaça de l'Església, 7, 43887 Nulles, Tarragona, Spain
Carrer de l'Església, 4, 43144 Vallmoll, Tarragona, Spain
Plaça de l'Església, 2, 43393 Almoster, Tarragona, Spain
Carrer la Botiga, 3, 43382 Maspujols, Tarragona, Spain
Carrer de I'Euterpe, 1, 43390 Riudecols, Tarragona, Spain
Carrer Major, 21, 43365 Arbolí, Tarragona, Spain
Plaça Església, 4, 43364 Capafonts, Tarragona, Spain
Plaça de l'Església, 1, 43439 Vallclara, Tarragona, Spain
Carrer Major, 4, 43449 Senan, Tarragona, Spain
Plaça Major, 4, 43427 Llorac, Tarragona, Spain
Camí D'Aguiló, 43421 Bellprat, Barcelona, Spain
Carrer del Sol, 2, 08787 Can Bou, Barcelona, Spain
Carrer de la Pau, 68, 08719 Castellolí, Barcelona, Spain
Plaça de Dalt, 2, 08282 Pujalt, Barcelona, Spain
Carrer Major, 9, 08283 Castellfollit de Riubregós, Barcelona, Spain
Plaça de Valls, 1, 08791 Sant Llorenç d'Hortons, Barcelona, Spain
Plaça Canaletas Canal, 5, 08718 Canaletes, Barcelona, Spain
Carrer Feliciana Planas Ferret, 6, 08792 Santa Fe del Penedès, Barcelona, Spain
C Blan, Plaça de Subirats, 6, 08739 Sant Pau d'Ordal, Barcelona, Spain
Plaça de la Vila, 1, 08795 Olesa de Bonesvalls, Barcelona, Spain
Plaça de l'Església, 7, 08798 Sant Cugat Sesgarrigues, Barcelona, Spain
Plaça Major, 5, 43884 Bonastre, Tarragona, Spain
Plaça Esglesia, 5, 43886 Renau, Tarragona, Spain
Carrer del Dimecres, 15, 43771 Riudecanyes, Tarragona, Spain
Plaça del Mercadal, 17, 43365 Alforja, Tarragona, Spain
Plaça de la Vila, 2, 43380 Vilaplana, Tarragona, Spain
Plaça Església, 4, 43364 Capafonts, Tarragona, Spain
Plaça Esglesia, 9, 43141 Vilallonga del Camp, Tarragona, Spain
Plaça de l'Església, 12, 43811 Cabra del Camp, Tarragona, Spain
Plaça de Sant Bernat, 13, 43815 Santes Creus, Tarragona, Spain
GG9F+7X, 08787, Barcelona, Spain
Carrer Major, 8, 43421 Pontils, Tarragona, Spain
Plaça Església, 11, 43426 Rocafort de Queralt, Tarragona, Spain
C. Plaça de la, 6, 43427 Savallà del Comtat, Tarragona, Spain
Plaça Esglesia, 4, 43427 Vallfogona de Riucorb, Tarragona, Spain
Carrer Sor Teresa Jornet, 27, 08717 Argençola, Barcelona, Spain
Plaça Major, 19, 08717 Montmaneu, Barcelona, Spain
Plaça Castell, 5, 08289 Copons, Barcelona, Spain
Plaça Emili Donadeu, 6, 08282 Sant Martí Sesgueioles, Barcelona, Spain
Via sense nom, 08281 Calonge de Segarra, Barcelona, Spain
Plaça de Valls, 1, 08791 Sant Llorenç d'Hortons, Barcelona, Spain
Carrer del Molí, 29B, 08775 Torrelavit, Barcelona, Spain
Desconocido, 2, 08785 Vallbona d'Anoia, Barcelona, Spain
Av. d'en Gaudi, 19, 08773 Sant Joan de Mediona, Barcelona, Spain
C. Plaça de la, 6, 43427 Savallà del Comtat, Tarragona, Spain
Plaça Sant Jaume, 1, 43811 Figuerola del Camp, Tarragona, Spain
Plaça de l'Esglesia, 7, 43439 Vilanova de Prades, Tarragona, Spain
Plaça de la Vila, 14, 43812 Puigpelat, Tarragona, Spain
C. de Sant Pere, 12, 43886 Vilabella, Tarragona, Spain
Plaça de l'Església, 4, 43152 Perafort, Tarragona, Spain
Carrer Cosme Toda, 2, 43311 Vilanova d'Escornalbou, Tarragona, Spain
Carrer de la Font, 7, 43310 Colldejou, Tarragona, Spain
Carrer Rosselló, 20, 08732 La Gornal, Barcelona, Spain
Plaça Major, 16, 08735 Vilobí del Penedès, Barcelona, Spain
Plaça de l'Església, 4, 17454 Sant Andreu Salou, Girona, Spain
Plaça Major, 3, 17123 Torrent, Girona, Spain
Plaça Comtes d'Empúries, 23, 17141 Bellcaire d'Empordà, Girona, Spain
Plaça de l'Esglesia, 1, 17144 Colomers, Girona, Spain
Carrer Iglesia, 2, 17466 Vilopriu, Girona, Spain
C. Major, 7, 17469 Fortià, Girona, Spain
Carrer de la Plaça, 2, 17771 Santa Llogaia d'Àlguema, Girona, Spain
Plaça Major, 5, 17733 Albanyà, Girona, Spain
Plaça Major, 5, 17741 Cistella, Girona, Spain
Plaça de l'Església, 4, 17742 Avinyonet de Puigventós, Girona, Spain
Plaça, Era de Sant Sebastià, 3, 17855 Montagut, Girona, Spain
Plaça de Valls, 1, 08791 Sant Llorenç d'Hortons, Barcelona, Spain
Plaça de l'Ajuntament, 3, 17468 Vilademuls, Girona, Spain
Plaça Josep de Ros, 4, 17466 Les Olives, Girona, Spain
Pl. Iglesia, 6, 17133 Parlavà, Girona, Spain
Carrer de la Font, 8, 17257 Fontanilles, Girona, Spain
Carrer Mossèn Trayter, 1, 17473 Ventalló, Girona, Spain
Carrer Major, 1, 17475 Sant Miquel de Fluvià, Girona, Spain
Plaça de l'Ajuntament, 1, 17469 Siurana, Girona, Spain
Plaça Major, 7, 17469 Riumors, Girona, Spain
Plaça Major, 2, 17485 Vila-sacra, Girona, Spain
Carrer de l'Església, 1, 17754 Rabós, Girona, Spain
Plaça Doctor Jordi Cuffí Casellas, 1, 17706 Pont de Molins, Girona, Spain
Plaça de l'Església, 4, 17742 Avinyonet de Puigventós, Girona, Spain
Carrer de l'Església, 7, 17740 Vilafant, Girona, Spain
Plaça Major, 12, 17770 Borrassà, Girona, Spain
Plaça Sabater D'Ordis, 1, 17772 Ordis, Girona, Spain
Plaça de la Vila, 4, 17744 Navata, Girona, Spain
Via sense nom, 17850, Girona, Spain
GIV-5236, 17853 Sales de Llierca, Girona, Spain
Plaça Major, 3, 17833 Fontcoberta, Girona, Spain
Plaça Major, 1, 17830 Mieres, Girona, Spain
Plaça Ajuntament, 3, 17834 Sant Vincenç de Camós, Girona, Spain
BV-5122 - Ajuntament de Fogars de la Selva, 08495, Barcelona, Spain
GIV-5121, 2, 17452 Massanes, Girona, Spain
Carr. Gaserans, 181, 17451 Barcelona, Spain
Plaça de Valls, 1, 08791 Sant Llorenç d'Hortons, Barcelona, Spain
GIV-5121, 2, 17452 Massanes, Girona, Spain
Plaça de la Vila, 5, 17253 Vall-llobrega, Girona, Spain
Carrer Major, 3, 17256 Palau-Sator, Girona, Spain
Carrer Fort, 12, 17114 Ullastret, Girona, Spain
Plaça d'Avall, 4, 17131 Rupià, Girona, Spain
Plaça de l'Església, 10, 17132 Foixà, Girona, Spain
Plaça del Poble, 5, 17136 Albons, Girona, Spain
Plaça de l'Església, 8, 17137 Viladamat, Girona, Spain
Carrer de Sant Vicenç, 9, 17464 Viladasens, Girona, Spain
Plaça de l'Ajuntament, 7, 17476 Garrigàs, Girona, Spain
Carrer del Sol, 15, 17781 Vilamaniscle, Girona, Spain
Plaça del Fort, 13, 17708 Cantallops, Girona, Spain
Carrer Figueres, 1, 17763 Masarac, Girona, Spain
Plaça Constitució, 5, 17723 Biure, Girona, Spain
Plaça Carles Camps, 10, 17732 Sant Llorenç de la Muga, Girona, Spain
Plaça Major, 1, 17731 Terrades, Girona, Spain
Carrer Nou, 2, 17745 Lladó, Girona, Spain
Plaça Bordanova, 8, 17851 Maià de Montcal, Girona, Spain
Plaça Església, 2, 17854 Sant Jaume de Llierca, Girona, Spain
Plaça de l'Església, 1, 17853 Argelaguer, Girona, Spain
Plaça de l'Església, 2, 17832 Esponellà, Girona, Spain
Carrer de l'Església, 13, 17462 Juià, Girona, Spain
C. del Pou, 1, 17181 Aiguaviva, Girona, Spain
Barri St Marti Sacalm, 3, 17171 Sant Martí Sacalm, Girona, Spain
Plaça de Valls, 1, 08791 Sant Llorenç d'Hortons, Barcelona, Spain
Carrer de Boratuna, 2, 17199 Canet d'Adri, Girona, Spain
Plaça Major, 1, 17154 Sant Esteve de Llémena, Girona, Spain
Barri St Marti Sacalm, 3, 17171 Sant Martí Sacalm, Girona, Spain
Plaça del Gambeto, 15, 17179 Riudaura, Girona, Spain
Plaça del Mercat, 10, 17853 Tortellà, Girona, Spain
Plaça Major, 1, 17832 Crespià, Girona, Spain
Carrer de Ponent, 7, 17743 Vilanant, Girona, Spain
Plaça de L'Ajuntament, 9, 17761 Cabanes, Girona, Spain
Plaça de la Constitució, 8, 17723 Biure, Girona, Spain
Plaça del Fort, 4, 17750 Capmany, Girona, Spain
Plaça Sant Jaume, 10, 17753 Espolla, Girona, Spain
Carrer del Progrés, 7, 17494 Pau, Girona, Spain
Carrer Major, 2, 17493 Marzà, Girona, Spain
Plaça Major, 10, 17773 Pontós, Girona, Spain
Plaça Major, 5, 17469 Vilamalla, Girona, Spain
Plaça de l'Ajuntament, 3, 17474 Torroella de Fluvià, Girona, Spain
Carrer Major, 1, 17143 Jafre, Girona, Spain
Plaça de l'Esglesia, 4, 17464 Cervià de Ter, Girona, Spain
Carrer Esglesia, 12, 17463 Sant Joan de Mollet, Girona, Spain
Barri Àngels, 8, 17462 Sant Martí Vell, Girona, Spain
Plaça Major, 1, 17462 Madremanya, Girona, Spain
Plaça de la Vila, 1, 17121 Corçà, Girona, Spain
Carrer de la Pau, 7, 17140 Ullà, Girona, Spain
Carrer Església, 2, 17214 Regencós, Girona, Spain
Plaça de Valls, 1, 08791 Sant Llorenç d'Hortons, Barcelona, Spain
Plaça de la Vila, 2, 08472 Campins, Barcelona, Spain
Ctra. Vella de Sta. Fe, 67, 08479 Mosqueroles, Barcelona, Spain
Plaça de Catalunya, 3, 17459 Campllong, Girona, Spain
Carretera del Poble, 2, 17243 Llambilles, Girona, Spain
Plaça Mossèn Ferran Dou, 2, 17111 Vulpellac, Girona, Spain
Plaça Major, s/n, 17257 Gualta, Girona, Spain
GI-644, 3, 17133 Serra de Daró, Girona, Spain
Carrer de Torroella, 3, 17133 Ultramort, Girona, Spain
Carrer de les Closes, 2, 17474 Vilamacolum, Girona, Spain
Pl. Major, 3, 17483 Vilaür, Girona, Spain
Plaza Nova, Carretera de Santa Eulàlia, 4, 17476 Santa Eulàlia, Girona, Spain
Carrer Placeta, 7, 17752 Mollet de Peralada, Girona, Spain
Carrer Església, 5, 17746 Cabanelles, Girona, Spain
Placa Major, 5, 17850 Beuda, Girona, Spain
Plaça del Mercat, 10, 17853 Tortellà, Girona, Spain
Barri de Palol, 2, 17843 Palol de Revardit, Girona, Spain
GI-531, 17153 Sant Martí de Llémena, Girona, Spain
Carrer Major, 36, 17161 Osor, Girona, Spain
Plaça de Brunyola, 6, 17441 Brunyola, Girona, Spain
BV-4601, 14, 08500 Vic, Barcelona, Spain
Plaça Major, 6, 08518 Oristà, Barcelona, Spain
Pl. Major, 16, 08619 Borredà, Barcelona, Spain
Diseminado Cal Xemeneia, 2, 08694 Sant Julià de Cerdanyola, Barcelona, Spain
Plaça de Sant Sebastià, 5, 08611 Olvan, NULL, Spain
Plaça de Valls, 1, 08791 Sant Llorenç d'Hortons, Barcelona, Spain
Avinguda de Pau Casals, 14, 08769 Castellví de Rosanes, Barcelona, Spain
Caracter Escoles, 4, 08255 Castellfollit del Boix, Barcelona, Spain
BV-1123, 57, 08294 El Bruc, Barcelona, Spain
Carrer Sant Pere, 6, 08299 Rellinars, Barcelona, Spain
